category,city,company_name,job_title,job_type,post_date,salary_offered,lat,lng,state
Healthcare & Medical,Sydney,Genea,Registered Nurse Casual Day Surgery,Casual/Vacation,2018-04-15,,-33.865,151.2094,New South Wales
Administration & Office Support,Sydney,Marsden Business Support,Legal Secretary,Full Time,2018-04-16,Up to $80k package,-33.865,151.2094,New South Wales
Design & Architecture,Brisbane,A.G. Coombs Pty Ltd,Drafting Apprenticeship (Para-professional),Full Time,2018-04-15,,-27.4678,153.0281,Queensland
Trades & Services,Melbourne,Hallam & Bayswater Truck Centres,Service Manager,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Retail & Consumer Products,Melbourne,BP Australia,Store Manager - BP East Prahran (VIC),Full Time,2018-04-15,,-37.8136,144.9631,Victoria
Information & Communication Technology,Sydney,MANTECH INTERNATIONAL SYSTEMS RECRUITMENT,Project Coordinator,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Construction,Adelaide,Boral Ltd,Quarry Operator (Linwood),Full Time,2018-04-15,,-34.9289,138.6011,South Australia
Information & Communication Technology,Melbourne,Pro-Active Human Resources (Australia) P TY LTD,Java Mulesoft Developer,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Trades & Services,Melbourne,Tait Outdoor,Sheetmetal Worker / Welder,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Construction,Sydney,Austcorp Executive,Site Foreman / Site Manager - Multi-unit Residential - Maroubra,Full Time,2018-04-16,140000 - 150000,-33.865,151.2094,New South Wales
Construction,Melbourne,Altus Group,Senior Quantity Surveyor,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
"Manufacturing, Transport & Logistics",Adelaide,RECRUITCO Corporate,Delivery Offsiders / MR Driver,Casual/Vacation,2018-04-16,,-34.9289,138.6011,South Australia
Education & Training,Perth,G8 Education,Early Childhood Teacher,Part Time,2018-04-15,,-31.9522,115.8589,Western Australia
Information & Communication Technology,Sydney,2XM Technology Pty Ltd,Senior Business Analyst,Contract/Temp,2018-04-16,$800-850,-33.865,151.2094,New South Wales
Retail & Consumer Products,Sydney,Total Staff Solutions,Car Sales Trainee - Automotive Retail,Full Time,2018-04-15,"OTE $85,000+",-33.865,151.2094,New South Wales
Sales,Sydney,WesTrac Pty Ltd,Product Support Sales Representative - Parramatta,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Information & Communication Technology,Sydney,Salient Group,Senior Software Developer - Intersystems Ensemble,Contract/Temp,2018-04-16,$500-$600 per day depending on experience.,-33.865,151.2094,New South Wales
Trades & Services,Brisbane,Mark's Maintenance Solutions,WANTED - Qualified Diesel Mechanic,Casual/Vacation,2018-04-16,,-27.4678,153.0281,Queensland
Administration & Office Support,Gladstone,Refelec Qld Pty Ltd,Receptionist,Casual/Vacation,2018-04-15,,-23.8489,151.2625,Queensland
Trades & Services,Toowoomba,AWX Brisbane,Nursery Labourers,Casual/Vacation,2018-04-15,$20 - $25 p.h.,-27.5667,151.95,Queensland
Marketing & Communications,Melbourne,Aurec,"Senior Analyst, Campaigns Design",Full Time,2018-04-15,,-37.8136,144.9631,Victoria
